timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:30:00.137,71.23,72.85,1.62,5900,3200
09:30:02.279,71.98,72.85,0.87,6000,3200
09:30:02.279,71.98,72.11,0.13,6000,3300
09:30:03.208,71.98,72.85,0.87,6000,3200
09:30:04.012,71.98,72.42,0.44,6000,3700
09:30:07.279,71.23,72.42,1.19,5900,3700
09:30:10.046,72.03,72.42,0.39,6000,3700
09:30:36.756,72.03,72.18,0.15,6000,3800
09:30:36.756,72.03,72.42,0.39,6000,3700
09:30:36.756,72.03,72.18,0.15,6000,3800
09:30:37.009,72.03,72.85,0.82,6000,3200
09:30:37.865,72.08,72.85,0.77,6104,3200
09:30:43.863,72.03,72.85,0.82,6000,3200
09:30:49.141,72.09,72.85,0.76,6100,3200
09:30:50.337,72.03,72.85,0.82,6000,3200
09:30:50.338,72.1,72.85,0.75,6100,3200
09:30:50.340,72.03,72.85,0.82,6000,3200
09:30:50.341,72.11,72.85,0.74,6100,3200
09:30:51.481,72.03,72.85,0.82,6000,3200
09:30:51.616,72.03,72.57,0.54,6300,3400
09:30:51.617,72.03,72.52,0.49,6300,3600
09:30:51.617,72.03,72.15,0.12,6400,3600
09:30:51.626,72.03,72.52,0.49,6400,3500
09:30:51.627,72.03,72.17,0.14,6400,3600
09:30:51.630,72.03,72.52,0.49,6400,3500
09:30:51.631,72.03,72.16,0.13,6400,3600
09:30:51.860,72.06,72.16,0.1,6452,3600
09:30:51.891,72.06,72.52,0.46,6552,3500
09:30:51.892,72.06,72.16,0.1,6552,3600
09:30:52.142,72.06,72.11,0.05,6512,3700
09:30:56.340,72.06,72.85,0.79,6312,4500
09:30:56.457,72.06,72.11,0.05,6412,4700
09:30:56.935,72.03,72.11,0.08,6100,4700
09:30:56.935,72.06,72.11,0.05,6200,4700
09:30:56.958,72.03,72.11,0.08,6100,4700
09:30:56.958,72.06,72.11,0.05,6200,4700
09:30:56.970,72.03,72.11,0.08,6100,4700
09:30:56.970,72.06,72.11,0.05,6200,4700
09:30:56.987,72.03,72.11,0.08,6100,4700
09:30:59.123,72.04,72.11,0.07,6200,4700
09:31:05.840,72.07,72.11,0.04,6299,4700
09:31:07.671,72.07,72.85,0.78,6399,4500
09:31:13.989,72.07,72.11,0.04,6299,4700
09:31:16.837,72.04,72.11,0.07,6100,4700
09:31:16.838,72.04,72.08,0.04,6100,4800
09:31:16.843,72.04,72.07,0.03,6100,4900
09:31:16.850,72.04,72.08,0.04,6100,4800
09:31:21.837,72.04,72.11,0.07,6100,4700
09:31:23.204,72.04,72.85,0.81,6100,4500
09:31:23.547,72.04,72.59,0.55,6200,4600
09:31:26.599,71.54,72.59,1.05,6100,4600
09:31:46.236,71.73,72.59,0.86,6200,4600
09:31:46.236,71.73,72.34,0.61,6200,4700
09:31:47.109,71.73,72.04,0.31,6200,4900
09:31:50.935,71.73,72.03,0.3,6200,5000
09:31:51.984,72.01,72.03,0.02,6400,5100
09:31:59.029,72.01,72.04,0.03,6300,4900
09:31:59.029,72.01,72.03,0.02,6300,5000
09:31:59.032,72.01,72.04,0.03,6300,4900
09:31:59.060,72.01,72.06,0.05,6300,4800
09:31:59.210,72.01,72.05,0.04,6300,4900
09:32:01.151,72.03,72.05,0.02,6400,4900
09:32:03.977,72.04,72.05,0.01,6400,4800
09:32:05.670,72.03,72.05,0.02,6300,4800
09:32:23.391,72.03,72.34,0.31,6400,4800
09:32:24.698,72.05,72.34,0.29,6572,4800
09:32:24.706,72.05,72.07,0.02,6672,5100
09:32:25.197,72.05,72.34,0.29,6572,4800
09:32:26.017,72.03,72.34,0.31,6400,4800
09:32:26.212,72.03,72.07,0.04,6400,5100
09:32:29.936,72.05,72.07,0.02,6500,5100
09:32:39.409,72.05,72.06,0.01,6600,5100
09:32:41.247,72.03,72.06,0.03,6500,5100
09:32:42.889,72.05,72.06,0.01,6600,5100
09:32:44.728,72.03,72.06,0.03,6500,5000
09:32:53.915,72.03,72.07,0.04,7173,5100
09:32:54.054,72.03,72.08,0.05,7173,5000
09:32:54.314,72.03,72.07,0.04,7173,5100
09:32:54.333,72.03,72.08,0.05,7173,5000
09:32:54.452,72.03,72.07,0.04,7173,5100
09:32:54.661,72.03,72.08,0.05,7173,5000
09:32:58.496,72.02,72.08,0.06,6900,5100
09:32:58.496,72.03,72.08,0.05,7000,5100
09:32:58.497,72.02,72.08,0.06,6900,5100
09:32:58.497,72.01,72.08,0.07,6800,5100
09:32:58.497,72.01,72.07,0.06,6800,5200
09:32:58.508,72.01,72.06,0.05,6800,5500
09:32:58.607,72.01,72.07,0.06,6900,5300
09:33:01.012,72.02,72.07,0.05,7100,5300
09:33:01.545,72.02,72.06,0.04,7100,5400
09:33:01.714,72.02,72.05,0.03,7100,5500
09:33:01.714,72.01,72.05,0.04,7000,5500
09:33:02.370,72.0,72.05,0.05,6900,5500
09:33:04.228,72.01,72.05,0.04,7100,5500
